pair,x,y,z,w,dwdq1,dwdq2,dwdq3
284, 0.000,0.100,0.900,0.050,-0.000,-1.066,-9.594
285, 0.000,0.100,0.900,0.250,-0.000,-7.500,-67.500
286, 0.000,0.100,0.900,0.005,-0.000,-0.083,-0.750
287, 0.000,0.100,0.900,0.050,-0.000,-1.066,-9.594
288, 0.000,0.100,0.900,0.050,-0.000,-1.066,-9.594
289, 0.000,0.100,0.900,0.250,-0.000,-7.500,-67.500
290, 0.000,0.100,0.900,0.005,-0.000,-0.083,-0.750
291, 0.000,0.100,0.900,0.050,-0.000,-1.066,-9.594
292, 0.000,0.100,0.900,0.050,-0.000,-1.066,-9.594
293, 0.000,0.100,0.900,0.005,-0.000,-0.083,-0.750
294, 0.000,0.100,1.000,0.050,-0.000,-1.066,-10.660
295, 0.000,0.100,1.000,0.000,-0.000,-0.000,-0.000
296, 0.000,0.100,1.000,0.250,-0.000,-7.500,-75.000
297, 0.000,0.100,1.000,0.005,-0.000,-0.083,-0.833
298, 0.000,0.100,1.000,0.050,-0.000,-1.066,-10.660
299, 0.000,0.100,1.000,0.250,-0.000,-7.500,-75.000
300, 0.000,0.100,1.000,0.050,-0.000,-1.066,-10.660
301, 0.000,0.100,1.000,0.250,-0.000,-7.500,-75.000
302, 0.000,0.100,1.000,0.050,-0.000,-1.066,-10.660
303, 0.000,0.100,1.000,0.005,-0.000,-0.083,-0.833
304, 0.000,0.100,1.000,0.250,-0.000,-7.500,-75.000
305, 0.000,0.100,1.000,0.050,-0.000,-1.066,-10.660
306, 0.000,0.200,0.000,0.250,-0.000,-15.000,-0.000
307, 0.000,0.200,0.000,0.050,-0.000,-2.132,-0.000
308, 0.000,0.200,0.000,0.050,-0.000,-2.132,-0.000
309, 0.000,0.200,0.000,0.005,-0.000,-0.167,-0.000
310, 0.000,0.200,0.000,0.250,-0.000,-15.000,-0.000
311, 0.000,0.200,0.000,0.250,-0.000,-15.000,-0.000
312, 0.000,0.200,0.000,0.050,-0.000,-2.132,-0.000
313, 0.000,0.200,0.000,0.250,-0.000,-15.000,-0.000
314, 0.000,0.200,0.000,0.050,-0.000,-2.132,-0.000
315, 0.000,0.200,0.000,0.050,-0.000,-2.132,-0.000
316, 0.000,0.200,0.000,0.005,-0.000,-0.167,-0.000
317, 0.000,0.200,0.100,0.050,-0.000,-2.132,-1.066
318, 0.000,0.200,0.100,0.250,-0.000,-15.000,-7.500
319, 0.000,0.200,0.100,0.005,-0.000,-0.167,-0.083
